Begin time,End time,Eclipse type,Greatest eclipse time,EARTH_Position_X,EARTH_Position_Y,EARTH_Position_Z,EARTH_Velocity_X,EARTH_Velocity_Y,EARTH_Velocity_Z,MOON_Position_X,MOON_Position_Y,MOON_Position_Z,MOON_Velocity_X,MOON_Velocity_Y,MOON_Velocity_Z,SUN_Position_X,SUN_Position_Y,SUN_Position_Z,SUN_Velocity_X,SUN_Velocity_Y,SUN_Velocity_Z,JUPITER_Position_X,JUPITER_Position_Y,JUPITER_Position_Z,JUPITER_Velocity_X,JUPITER_Velocity_Y,JUPITER_Velocity_Z
2048 Jun 12 12:38:11,2048 Jun 12 18:49:03,Annular,2048 Jun 12 12:38:11,-9736760.699537534,-151589184.01197672,11309.172615806981,29.272553353888995,-2.021733661115841,0.001166625895816289,-9700875.321042228,-151184639.56304803,12467.606789753838,28.30763545711676,-1.9435568063487696,-0.08848843860356265,0.0,0.0,0.0,0.0,0.0,0.0,263487448.3747182,708340918.0187255,-8837243.708459036,-12.409269368340443,5.175195041194406,0.25611345953861553
2048 Dec 06 15:42:29,2048 Dec 06 20:57:13,Total,2048 Dec 06 16:38:00,26283924.065842316,144936587.70075867,-10869.01558709827,-29.80853255871264,5.209016539858037,-0.001556281868498821,26210494.27856087,144586480.79036102,-10572.796752353042,-28.732947223335785,4.998394150820783,0.10006745475446853,0.0,0.0,0.0,0.0,0.0,0.0,66475174.17261979,761507677.2815999,-4650696.997640898,-13.180866627708854,1.7511420555733603,0.28759584962653734
2049 Jun 01 15:01:31,2049 Jun 01 20:20:54,Annular,2049 Jun 01 15:01:31,-37087098.17590865,-147127023.58344737,11087.01603798777,28.429657578590135,-7.396991560298243,0.0015919083095568894,-36980419.38821194,-146741189.6401403,7168.172940499109,27.490627623473788,-7.107614500373626,-0.08896964137957118,0.0,0.0,0.0,0.0,0.0,0.0,-135048291.514978,761963647.0270734,-144264.31702380604,-13.029439690877474,-1.670771887946913,0.2984278569669948
2049 Nov 26 07:31:47,2049 Nov 26 11:58:03,Annular,2049 Nov 26 07:31:47,52429706.382490486,137879598.24650785,-10446.559414338131,-28.339785432490032,10.484333078010195,-0.0018878895023256835,52290019.14776099,137535965.39124438,-5339.132810557657,-27.342486157382062,10.12625969468655,0.09417560614035309,0.0,0.0,0.0,0.0,0.0,0.0,-328393424.1710284,711306983.1589531,4391565.856493576,-12.02531768420614,-4.87228194855482,0.2892609208339721
2050 Apr 22 12:57:11,2050 Apr 22 16:30:02,Partial,2050 Apr 22 12:57:11,-120005956.51383677,-90866744.36243573,6968.028383006418,17.51876168677064,-23.87639716083423,0.002883313596229026,-119707188.9956034,-90647520.0013227,15015.226233024207,16.9265111269386,-22.996768328741243,-0.09109723554176381,0.0,0.0,0.0,0.0,0.0,0.0,-472995899.6426208,634096053.429361,7947252.529721918,-10.633522002540502,-7.211455188726683,0.2678451108307922
2050 May 22 00:07:31,2050 May 22 01:44:09,Partial,2050 May 22 00:07:31,-62533570.73094294,-137982056.15283072,10561.74145480104,26.67567412227562,-12.415620892453031,0.0019892095671545226,-62372868.34045563,-137636374.26780528,1404.2619255069399,25.75922654811604,-11.941729588485945,-0.09064760461905659,0.0,0.0,0.0,0.0,0.0,0.0,-499648536.2448024,615191977.1473638,8622043.117940504,-10.302111813663743,-7.637073034477352,0.2621999748893304
2050 Oct 17 01:14:36,2050 Oct 17 05:08:53,Partial,2050 Oct 17 01:14:36,130615127.7679908,71412593.17115352,-5580.340387225676,-14.775730566871989,26.04499991224423,-0.002991129806615952,130260592.54396214,71225106.83398676,-13827.395617536338,-14.294495835731801,25.190092681304147,0.0858310288268952,0.0,0.0,0.0,0.0,0.0,0.0,-619707882.2798724,504940875.3404157,11765959.490067888,-8.4107965847884,-9.531393148720353,0.2277561773271582
2051 Apr 12 04:28:29,2051 Apr 12 09:33:17,Total,2051 Apr 12 05:25:19,-133767515.43652074,-68116194.13862616,5482.0325556713215,13.050518091280317,-26.675397003433762,0.0031999966219325125,-133444589.41306178,-67961982.08342646,8941.788993390377,12.588639461125155,-25.682085846720312,-0.09767663252855814,0.0,0.0,0.0,0.0,0.0,0.0,-728536580.0086819,345360914.4547633,14863525.675369356,-5.751113950150445,-11.21083242355979,0.17523391200478722
2051 Oct 06 01:19:38,2051 Oct 06 07:14:37,Annular,2051 Oct 06 01:19:38,142239488.99370098,45430133.29541323,-3831.8235538913204,-9.544739835706611,28.2863242390593,-0.003199086556371228,141850227.35088745,45315406.20006189,-7824.306448180794,-9.281886098287917,27.353475807787444,0.08603261518430382,0.0,0.0,0.0,0.0,0.0,0.0,-794263478.3373121,165613488.82482097,17080672.455946226,-2.818425458080701,-12.19598453298356,0.11371776464761385
2052 Mar 31 22:04:23,2052 Apr 01 03:16:23,Total,2052 Mar 31 23:01:26,-143243157.29569966,-43428753.51701195,3788.388040226173,8.17317055931894,-28.6388127831789,0.003385604225226004,-142894695.15931416,-43333245.16343794,2613.036524336966,7.859281886898335,-27.599377995717084,-0.0970376422589626,0.0,0.0,0.0,0.0,0.0,0.0,-814055433.7849413,-24809636.78127441,18314506.240615964,0.24937789257436646,-12.465431932004293,0.04620699069193679
