Begin time,End time,Eclipse type,Greatest eclipse time,EARTH_Position_X,EARTH_Position_Y,EARTH_Position_Z,EARTH_Velocity_X,EARTH_Velocity_Y,EARTH_Velocity_Z,MOON_Position_X,MOON_Position_Y,MOON_Position_Z,MOON_Velocity_X,MOON_Velocity_Y,MOON_Velocity_Z,SUN_Position_X,SUN_Position_Y,SUN_Position_Z,SUN_Velocity_X,SUN_Velocity_Y,SUN_Velocity_Z,JUPITER_Position_X,JUPITER_Position_Y,JUPITER_Position_Z,JUPITER_Velocity_X,JUPITER_Velocity_Y,JUPITER_Velocity_Z
2041 Oct 25 17:28:04,2041 Oct 25 23:30:16,Annular,2041 Oct 25 17:28:04,120642875.60113648,86718643.55888025,-6498.7022747132005,-17.875610379127384,24.095376965037673,-0.00048352940558264474,120314612.70162216,86494911.09952949,-5763.558288817023,-17.289455753974043,23.296725632164716,-0.09208465891658019,0.0,0.0,0.0,0.0,0.0,0.0,-610548814.8088361,-533512033.7143346,15875154.888994295,8.45583705133157,-9.241345568875538,-0.1507768416392852
2042 Apr 20 18:14:12,2042 Apr 20 22:56:48,Total,2042 Apr 20 19:20:15,-124993096.18327206,-83635767.8817158,6237.797981911807,16.101559652777457,-24.886257275356,0.00045053565669044243,-124689173.46639709,-83443320.43058114,9818.745745981505,15.534260109884347,-23.95532936310429,0.1008861826297032,0.0,0.0,0.0,0.0,0.0,0.0,-464661139.25245374,-657915897.5807217,13128262.289132586,10.533349072263414,-6.9376955012971235,-0.20682189310298088
2042 Oct 14 19:28:40,2042 Oct 15 00:51:36,Annular,2042 Oct 14 19:28:40,135287307.57523835,62482142.25086508,-4744.30547285651,-12.975541192895951,26.95222731351841,-0.0007578289279631358,134914530.4141004,62319982.20304627,-8886.894612130422,-12.589471708656925,26.065120301093984,-0.08972464388116068,0.0,0.0,0.0,0.0,0.0,0.0,-291276472.0622398,-743346519.0564297,9604356.785968227,12.027959558153537,-4.163273868343575,-0.25178548691608255
2043 Mar 12 03:18:14,2043 Mar 12 06:42:23,Partial,2043 Mar 12 03:18:14,-148111362.9615755,13781508.180434538,-416.5142674259721,-3.23830435455004,-29.79218773203702,0.0009101228462087047,-147748844.77720505,13742342.731914392,-8585.122728721388,-3.154812726480014,-28.71876464345529,0.09794840656148329,0.0,0.0,0.0,0.0,0.0,0.0,-131972174.16002716,-780301598.1777009,6194022.942994433,12.746675182926815,-1.5716664947088552,-0.27863056068076403
2043 Apr 10 13:19:46,2043 Apr 10 15:19:45,Partial,2043 Apr 10 13:19:46,-137257159.10094965,-60447573.632771745,4528.872749419859,11.538671223632518,-27.392075982500447,0.0007021062351472748,-136927131.6557003,-60307179.39494772,13160.954902068886,11.09234991869497,-26.3939858606592,0.09745239469264234,0.0,0.0,0.0,0.0,0.0,0.0,-99468898.22916448,-783618295.860084,5480662.143357251,12.825789967646504,-1.0372855236671163,-0.28261943272139994
2043 Sep 04 08:29:13,2043 Sep 04 11:32:11,Partial,2043 Sep 04 08:29:13,145558690.18855178,-38959779.82758619,2205.661073636392,7.231612555282629,28.685119399537864,-0.0009360240390469823,145186063.97743872,-38855537.90405231,11068.865896766098,6.913388791495027,27.719176869352143,-0.0904603482232518,0.0,0.0,0.0,0.0,0.0,0.0,64185164.141072564,-779583141.9987311,1802769.9667085186,12.885814188047425,1.6845683674965872,-0.29526939310129396
2043 Oct 03 23:06:26,2043 Oct 04 00:47:25,Partial,2043 Oct 03 23:06:26,145035592.79894537,36174223.59247612,-2821.4671810500267,-7.690260192299837,28.812680183425098,-0.0009104086896514358,144649412.69215482,36081699.78012906,-12047.336731780202,-7.491706110723099,27.841864402462814,-0.08983150298396256,0.0,0.0,0.0,0.0,0.0,0.0,97081588.50650021,-774565354.0841409,1045990.6134831394,12.82830386560574,2.2382521184567894,-0.29628402482167576
2044 Feb 29 14:47:15,2044 Feb 29 20:15:49,Annular,2044 Feb 29 14:47:15,-142682089.2163996,40578730.22357711,-2379.0857808554306,-8.631386572968287,-28.78329586771193,0.0008909312959259389,-142314810.60826257,40464911.99395848,-6470.161353616061,-8.37134713783118,-27.793498434927212,0.09510403686093673,0.0,0.0,0.0,0.0,0.0,0.0,258309750.0482518,-728080983.8686391,-2754019.148391115,12.176684313169094,4.986281509641045,-0.2931235362561996
2044 Aug 23 19:38:39,2044 Aug 24 00:46:34,Total,2044 Aug 23 20:40:05,136642353.38471374,-64394615.27586914,4023.5169077476758,12.232784898876977,26.854914693751905,-0.0007323749616742021,136314475.92398205,-64230258.646498136,8072.049938332521,11.72030196123988,25.91484562179861,-0.09842802770248497,0.0,0.0,0.0,0.0,0.0,0.0,432908567.4044937,-628550105.2644892,-7073484.092422985,10.621098912786588,8.033645463575906,-0.2709808384443211
2045 Feb 17 19:39:13,2045 Feb 18 01:44:39,Annular,2045 Feb 17 19:39:13,-132100323.15955554,66646347.49188538,-4229.028758899467,-13.90396279798547,-26.725200553766474,0.0008267880723322574,-131745392.00725013,66456111.920132466,-3691.4964059707186,-13.463583136296421,-25.852980323540997,0.09120857923065269,0.0,0.0,0.0,0.0,0.0,0.0,578914125.3684278,-484135151.8500802,-10939780.198943213,8.239144543909847,10.648781097537576,-0.22856014121357093
2045 Aug 13 12:50:41,2045 Aug 13 18:00:18,Total,2045 Aug 13 13:45:02,123704252.53215772,-87239243.64706422,5697.933936438027,16.704750073050207,24.251434396277173,-0.0005443237721295935,123417934.52800474,-87025447.11084755,4938.4126897424385,16.047496864292906,23.37334184917115,-0.10209683518643381,0.0,0.0,0.0,0.0,0.0,0.0,682254372.8894168,-306014473.6104183,-13991592.653962798,5.200909721393379,12.549836563755074,-0.1684859232553571
2046 Feb 06 20:38:10,2046 Feb 07 01:34:26,Annular,2046 Feb 06 20:38:10,-116522566.86784361,90657527.36318946,-6073.4598999927275,-18.780973607296115,-23.638341533587877,0.0006840209377141519,-116208132.54720074,90402124.06493889,-782.7820187171229,-18.15821984891097,-22.89312483906539,0.08975697576699834,0.0,0.0,0.0,0.0,0.0,0.0,735477654.0790893,-104726887.75467315,-16018498.116381936,1.6920363720863505,13.564514002019788,-0.09420631128366716
2046 Aug 03 07:12:05,2046 Aug 03 11:09:49,Partial,2046 Aug 03 07:12:05,107093013.19671366,-107347325.6009239,7382.745619802342,20.62754472797299,20.943720817291723,-0.00040952042966938614,106841428.94770873,-107084077.18037803,1513.2788299113759,19.873135992796197,20.173808599105715,-0.09766357154276245,0.0,0.0,0.0,0.0,0.0,0.0,733164453.5684822,104562070.06801282,-16836195.828700986,-1.9976705174853826,13.564250196165192,-0.011658572078129717
2046 Dec 28 09:37:10,2046 Dec 28 12:56:59,Partial,2046 Dec 28 09:37:10,-27898203.703743987,144440408.8177117,-10370.697848713786,-29.744626190074907,-5.763082242545836,-0.000584480440175485,-27831371.5087911,144068080.33974755,-18873.800753995594,-28.71369904048735,-5.625471220348301,0.09117601870309686,0.0,0.0,0.0,0.0,0.0,0.0,688716960.9185925,272693437.1684441,-16540331.759303277,-4.9655596026058575,12.77680308080276,0.05800445290429877
2047 Jun 24 08:49:28,2047 Jun 24 13:51:59,Annular,2047 Jun 24 08:49:28,17793579.36629873,-150950530.04978967,11000.663608265973,29.12869221537904,3.3786858254021803,0.0007628649316258791,17755322.215712797,-150558744.23236006,16967.932566936655,28.13848216104232,3.2432936699106136,-0.09069941870244017,0.0,0.0,0.0,0.0,0.0,0.0,586983803.8393216,456208563.4508981,-15026818.837591786,-8.176283681931048,10.943291102886178,0.13745357870251904
2047 Dec 17 22:14:08,2047 Dec 18 03:17:22,Total,2047 Dec 17 23:15:26,-558203.9680571577,147165523.94662324,-10892.825348962244,-30.286279162473523,-0.22248794574195585,-0.001108348326333702,-565728.1697990728,146804903.73442978,-14981.472313793043,-29.1995799109299,-0.27011151076837364,0.09852205690435804,0.0,0.0,0.0,0.0,0.0,0.0,441993972.35834754,604133096.0471256,-12397740.572415764,-10.706188820605679,8.338936747969809,0.20486608108009727
2048 Jun 12 11:49:52,2048 Jun 12 18:00:43,Annular,2048 Jun 12 11:49:52,-9821589.01630631,-151583301.3692066,11308.68197081275,29.271479100648104,-2.038385527369693,0.0011678514760241326,-9785479.835929096,-151178778.5254173,12488.82903854626,28.30660435822158,-1.9596582998157082,-0.08848599895114505,0.0,0.0,0.0,0.0,0.0,0.0,263523422.50614032,708325914.21224,-8837986.169955473,-12.409034270511807,5.175826970021667,0.25610557457111166
2048 Dec 06 14:52:08,2048 Dec 06 20:06:56,Total,2048 Dec 06 15:47:37,26373933.823769633,144920830.9804205,-10867.7805250298,-29.80522697273571,5.227211016953868,-0.0015576560180523204,26300286.718548506,144570768.460781,-10592.999755992792,-28.729776987369974,5.015929398804445,0.1000672530981521,0.0,0.0,0.0,0.0,0.0,0.0,66514993.48074678,761502386.0476377,-4651565.81839619,-13.180806858334744,1.7518264785164368,0.28759166962717
2049 Jun 01 14:08:55,2049 Jun 01 19:28:45,Annular,2049 Jun 01 14:08:55,-37176782.10709213,-147103661.0099673,11085.164103032797,28.425201452758003,-7.414645352527047,0.0015933196769028271,-37069859.86799451,-146717902.39504674,7190.800658062485,27.48634409792611,-7.124652265472853,-0.08897541957489215,0.0,0.0,0.0,0.0,0.0,0.0,-135007170.41013,761968918.8951977,-145206.1551416789,-13.029561902741149,-1.6700823714871265,0.2984277259874268
2049 Nov 26 06:36:55,2049 Nov 26 11:03:47,Annular,2049 Nov 26 06:36:55,52522952.329191275,137845066.10978135,-10443.87856714528,-28.332636767539014,10.503112692300109,-0.0018894653983452436,52383017.13599711,137501526.51716238,-5361.5387818548215,-27.33561376973899,10.144336242580032,0.09418722975375028,0.0,0.0,0.0,0.0,0.0,0.0,-328353836.3332806,711323021.6462346,4390613.60295977,-12.02561635623805,-4.871634869360911,0.28926491503020113
