Begin time,End time,Eclipse type,Greatest eclipse time,EARTH_Position_X,EARTH_Position_Y,EARTH_Position_Z,EARTH_Velocity_X,EARTH_Velocity_Y,EARTH_Velocity_Z,MOON_Position_X,MOON_Position_Y,MOON_Position_Z,MOON_Velocity_X,MOON_Velocity_Y,MOON_Velocity_Z,SUN_Position_X,SUN_Position_Y,SUN_Position_Z,SUN_Velocity_X,SUN_Velocity_Y,SUN_Velocity_Z,JUPITER_Position_X,JUPITER_Position_Y,JUPITER_Position_Z,JUPITER_Velocity_X,JUPITER_Velocity_Y,JUPITER_Velocity_Z,VENUS_Position_X,VENUS_Position_Y,VENUS_Position_Z,VENUS_Velocity_X,VENUS_Velocity_Y,VENUS_Velocity_Z
2047 Jul 22 22:05:56,2047 Jul 23 00:37:00,Partial,2047 Jul 22 23:21:31,75693028.8268305,-131792975.23811255,13146.910497422794,25.35958327325814,14.729224434165621,-0.0006905037915987132,75505987.40798964,-131456992.50351149,4705.4996512597545,24.48975525014417,14.190534326676104,-0.09097167436733562,0.0,0.0,0.0,0.0,0.0,0.0,569648458.2366012,478612396.3729084,-14731979.202918489,-8.564635222809816,10.628356137668737,0.1474447611566398,39176628.488220915,-101530173.60579047,-3660474.44331851,32.43919799530895,12.488917708417826,-1.6988687280041286
2047 Dec 16 22:36:44,2047 Dec 17 02:36:41,Partial,2047 Dec 17 00:36:41,13482665.693476992,146609618.11229065,-15756.683663050944,-30.161247758723597,2.6177542226496793,-0.001151609236126858,13443063.86691735,146251975.66132042,-22876.78606877799,-29.08050572273102,2.474362889185583,0.09676140378914398,0.0,0.0,0.0,0.0,0.0,0.0,447111761.6117658,600134072.2239169,-12495541.378945155,-10.63933492241545,8.428788315673355,0.20299338273101997,-104608709.26061745,24397529.98500703,6370569.693543308,-8.129983186422988,-34.26525586772975,-0.00388076308183708
2048 Jun 11 10:58:07,2048 Jun 11 16:41:29,Annular,2048 Jun 11 13:49:48,-23672053.585216705,-150044563.521831,16309.937510596019,28.954326234824887,-4.756987783963948,0.0013021695150255196,-23600073.33968926,-149644669.4421549,20949.99472273756,28.001355053872803,-4.5893042841485325,-0.08763010651676656,0.0,0.0,0.0,0.0,0.0,0.0,269514428.7673127,705800333.3098576,-8961499.089032026,-12.369523231793174,5.280530723636708,0.25478639039556855,-599476.7194026182,107647765.44941604,1520012.5505046034,-35.13859972906321,-0.38106460036295464,2.021559191712523
2048 Dec 05 13:48:49,2048 Dec 05 18:58:22,Total,2048 Dec 05 16:23:36,40704982.1076607,141679157.60798466,-15613.459906045284,-29.12799699220476,8.117575186499108,-0.0018090180799787533,40597185.54341263,141337514.26100263,-18714.239970729544,-28.079306107647575,7.804143576798847,0.09937988118819922,0.0,0.0,0.0,0.0,0.0,0.0,72896403.32244307,760628217.1228117,-4790733.90976754,-13.170652059359908,1.8619570700148822,0.28690605942296266,105174515.10625193,26222351.53129901,-5704681.327100397,-8.595440361213058,33.82380181816471,0.9625284913263169
2049 May 31 11:51:16,2049 May 31 17:52:00,Annular,2049 May 31 14:51:36,-51092143.631584935,-142811898.85975254,16320.499465713352,27.57797131883696,-10.151083957814846,0.0019453152664132894,-50948415.811608694,-142439609.5764355,16176.550501618896,26.670318498805607,-9.766566821900497,-0.08923776076319198,0.0,0.0,0.0,0.0,0.0,0.0,-128632147.63007878,762771770.143971,-291248.39072194824,-13.047893454696965,-1.5618600160559977,0.2983832509396777,51480893.56845657,-95885650.66532113,-4292972.8898346415,30.62107537665409,16.446697639583537,-1.539180012447328
2049 Nov 25 03:43:23,2049 Nov 25 09:08:33,Hybrid,2049 Nov 25 06:26:01,66635125.35512349,131785699.365401,-15284.41159629736,-27.078386688449125,13.334876276670954,-0.0023851167619883965,66458273.758833945,131457585.23665048,-13991.002323268343,-26.12979357015644,12.873848808101835,0.09486424359782261,0.0,0.0,0.0,0.0,0.0,0.0,-322438645.1538554,713731009.452071,4248161.663782823,-12.069997077176248,-4.772680842813303,0.28984108911363243,-78362881.39514266,-74562938.10877302,3490611.2207713244,23.894592009792508,-25.537080393769912,-1.7307282686564875
2050 May 20 19:16:24,2050 May 20 23:49:16,Hybrid,2050 May 20 21:32:47,-76101203.17506033,-130871302.35863186,15401.928933274741,25.280474823011254,-15.093782311651735,0.0025663564618756667,-75903301.89079691,-130547760.23932764,10312.315750795335,24.419609430129366,-14.515845603870202,-0.09263504446967005,0.0,0.0,0.0,0.0,0.0,0.0,-494510798.6511124,619058180.6139657,8490896.869011069,-10.369325279419103,-7.551759884067522,0.2633475702656399,-88920433.2775341,60106468.673613794,5958513.833654162,-19.752416948675425,-29.18974753882171,0.7363361988652394
2050 Nov 14 12:22:03,2050 Nov 14 16:36:20,Partial,2050 Nov 14 14:29:14,90705967.38339564,116952456.47936581,-14323.707133710877,-24.032166798835895,18.151210400532484,-0.002918969393869197,90458625.82448404,116646108.39249544,-7994.652741868518,-23.229542324948277,17.555169217488082,0.08733378953306177,0.0,0.0,0.0,0.0,0.0,0.0,-636765353.186366,485123325.76835525,12229703.752154768,-8.076529927075063,-9.792477645720762,0.221364249668521,37152848.30304128,101257433.16258861,-744666.6236271068,-32.99251485398661,11.899081989688836,2.067277169012257
2051 Apr 11 00:57:28,2051 Apr 11 05:02:46,Total,2051 Apr 11 03:00:07,-139963532.05085194,-53663367.7461545,7533.72364390573,10.185314205182722,-27.940561770364386,0.004292674954312807,-139627388.34272227,-53541934.67620699,14353.381063230565,9.82147660444078,-26.90590262891682,-0.09486879862607982,0.0,0.0,0.0,0.0,0.0,0.0,-725751875.4319317,351078183.22874826,14777274.253554784,-5.845869716067515,-11.162540139754487,0.17715078700453415,65342169.775468506,-87011587.19024968,-4970411.592794389,27.77422524305918,20.907317998421387,-1.3132495451192865
2051 Oct 04 19:56:38,2051 Oct 05 00:10:33,Partial,2051 Oct 04 22:03:34,146660137.26735726,29654353.41730557,-4886.753532062889,-6.389184507930225,29.098280353594173,-0.0043450606450037114,146261793.23853716,29579990.104024127,-12799.360459155805,-6.226379707085047,28.14141289564345,0.08317066110002663,0.0,0.0,0.0,0.0,0.0,0.0,-792980957.2302126,171977264.01123172,17025349.288893152,-2.9232098606096386,-12.170326127607572,0.1159523833449715,-68219179.73417804,-84087400.61567344,2773463.092387907,26.9536261048815,-22.227554063040902,-1.8616051765633832
