Begin time,End time,Eclipse type,Greatest eclipse time,EARTH_Position_X,EARTH_Position_Y,EARTH_Position_Z,EARTH_Velocity_X,EARTH_Velocity_Y,EARTH_Velocity_Z,MOON_Position_X,MOON_Position_Y,MOON_Position_Z,MOON_Velocity_X,MOON_Velocity_Y,MOON_Velocity_Z,VENUS_Position_X,VENUS_Position_Y,VENUS_Position_Z,VENUS_Velocity_X,VENUS_Velocity_Y,VENUS_Velocity_Z,SUN_Position_X,SUN_Position_Y,SUN_Position_Z,SUN_Velocity_X,SUN_Velocity_Y,SUN_Velocity_Z
2029 Jun 26 05:25:19,2029 Jun 26 10:57:34,Total,2029 Jun 26 07:23:21,14390821.162507271,-151295037.38996223,9514.454176373825,29.175040591149205,2.711572049118951,-0.0014988379111237874,14416359.122965658,-151667344.1581324,9331.56902813803,30.22772871464421,2.741011431668179,0.0956933253669641,-98581716.42708638,42415117.51566019,6271247.048411616,-13.994233454649025,-32.35126755096408,0.3628547313083833,0.0,0.0,0.0,0.0,0.0,0.0
2029 Dec 21 01:32:04,2029 Dec 21 07:17:28,Partial,2029 Dec 21 02:48:00,-398121.5309080008,147157199.43047988,-9314.252529384084,-30.261139762862644,-0.19030214676823268,0.001265621856226391,-389468.6220050886,147555253.11777288,-11685.416416675833,-31.24963390564729,-0.20230845860528654,-0.08978601544631787,17018789.617847748,106385696.15480149,480172.889622029,-34.70186438331766,5.350884951074925,2.0758863840229735,0.0,0.0,0.0,0.0,0.0,0.0
2030 Jun 15 22:09:39,2030 Jun 16 02:29:20,Partial,2030 Jun 15 23:26:34,-11755085.481735315,-151426095.91671756,9798.690999403001,29.219557981290965,-2.4154283175705102,-0.0012494360741822563,-11791330.702091137,-151783021.9437246,14612.483430195449,30.30513569229955,-2.540383111337749,0.09898439692229156,108128638.21147306,8482044.800200438,-6122346.881408147,-2.872554344404168,34.7590229531276,0.6435423066360604,0.0,0.0,0.0,0.0,0.0,0.0
2030 Dec 10 03:26:18,2030 Dec 10 07:18:54,Penumbral,2030 Dec 10 03:26:18,28097678.029421657,144599646.36136404,-9466.213631906261,-29.714590623493336,5.570526826635528,0.0008944948726157036,28181984.665865883,144997067.88103247,-16743.48058193749,-30.661460194209493,5.773027189427465,-0.08698007391066453,36171850.86790852,-102590770.9401106,-3497310.5666430225,32.80951229129096,11.524556273533625,-1.7346641209687899,0.0,0.0,0.0,0.0,0.0,0.0
2031 May 07 08:26:34,2031 May 07 12:47:08,Partial,2031 May 07 09:53:13,-101977314.28729464,-111234733.11240856,7967.902683430629,21.478758019222283,-20.238578517464003,-1.6670616878144166e-05,-102230024.13912146,-111499651.235079,1378.4140018995151,22.27878357283226,-20.9526353402883,0.09777416783040477,-104695758.65918374,23857374.193076167,6368813.933893741,-7.953783903898948,-34.31896777343655,-0.012828128836299272,0.0,0.0,0.0,0.0,0.0,0.0
2031 Oct 30 13:13:26,2031 Oct 30 17:41:31,Penumbral,2031 Oct 30 13:13:26,117007057.74030201,91410099.16895522,-7155.06682446962,-18.81399298551729,23.360893872344835,-0.00029961705682265906,117314468.261435,91641421.22087057,-98.02847418209345,-19.391483533934057,24.205199570521984,-0.09190097988424435,2569388.964182,107627414.58135079,1331589.5495596314,-35.13182537856641,0.6455611724411238,2.0358792115843083,0.0,0.0,0.0,0.0,0.0,0.0
2032 Apr 25 20:20:08,2032 Apr 26 02:06:31,Total,2032 Apr 25 22:26:47,-119813188.80451044,-91113921.7606098,7084.034160717214,17.55294945949544,-23.818748340715015,0.00031867838855959143,-120126395.16287696,-91339927.34694165,5039.693586908298,18.18473953210813,-24.617807056985693,0.09447010680258094,104980548.82752098,26955959.82737338,-5686423.23060446,-8.827858444744997,33.766760469076054,0.973621953183653,0.0,0.0,0.0,0.0,0.0,0.0
2032 Oct 19 00:55:19,2032 Oct 19 06:17:46,Total,2032 Oct 19 02:53:39,132107009.60930201,68691271.8908857,-5713.052100404011,-14.21744377950787,26.315456071006555,-0.0004549315834908705,132435046.27594493,68851083.9870847,-3374.2836762162337,-14.658060485629083,27.297029261345017,-0.09957796672287193,50478759.1072846,-96367476.80482972,-4237505.725410241,30.805345490991833,16.12903796477269,-1.5556060852070912,0.0,0.0,0.0,0.0,0.0,0.0
2033 Apr 15 01:39:54,2033 Apr 15 07:20:14,Partial,2033 Apr 15 02:59:58,-134095597.08296534,-67418956.94548689,5815.02035169954,12.904113195919829,-26.721523632964185,0.0006758504233875995,-134460147.1839779,-67591566.17896418,8821.520125562378,13.341112918253152,-27.59330410959021,0.09053633279515466,-78175743.82863164,-74677275.05143233,3483322.9638866647,23.958088288659823,-25.50291746198978,-1.733063115486583,0.0,0.0,0.0,0.0,0.0,0.0
2033 Oct 08 17:57:04,2033 Oct 08 22:55:34,Partial,2033 Oct 08 18:55:52,142624927.62757763,44242625.00174621,-4243.509159903632,-9.299884689143825,28.33694035512165,-0.0006820803875487865,142968417.4261819,44339215.63940185,-6546.218032646548,-9.600100549301398,29.39352328961731,-0.1022928948917707,-89199193.56221345,59635383.433323346,5966733.762762495,-19.602961311869276,-29.302790040084318,0.7279811814982258,0.0,0.0,0.0,0.0,0.0,0.0
2034 Apr 04 03:59:10,2034 Apr 04 07:04:53,Penumbral,2034 Apr 04 03:59:10,-143873179.2433439,-41112648.38550449,3980.0538054460676,7.708994484662561,-28.749464071603974,0.0008996831701876423,-144263445.7241728,-41218118.40613291,12131.675222160076,7.947886796790283,-29.692603687573673,0.08890445262976521,37177461.16828952,101241470.21590748,-752477.6207844926,-32.99283828023589,11.904289921051719,2.067310914685084,0.0,0.0,0.0,0.0,0.0,0.0
