Begin time,End time,Eclipse type,Greatest eclipse time,EARTH_Position_X,EARTH_Position_Y,EARTH_Position_Z,EARTH_Velocity_X,EARTH_Velocity_Y,EARTH_Velocity_Z,MOON_Position_X,MOON_Position_Y,MOON_Position_Z,MOON_Velocity_X,MOON_Velocity_Y,MOON_Velocity_Z,SUN_Position_X,SUN_Position_Y,SUN_Position_Z,SUN_Velocity_X,SUN_Velocity_Y,SUN_Velocity_Z,JUPITER_Position_X,JUPITER_Position_Y,JUPITER_Position_Z,JUPITER_Velocity_X,JUPITER_Velocity_Y,JUPITER_Velocity_Z,VENUS_Position_X,VENUS_Position_Y,VENUS_Position_Z,VENUS_Velocity_X,VENUS_Velocity_Y,VENUS_Velocity_Z
2050 Oct 30 01:36:46,2050 Oct 30 06:50:55,Total,2050 Oct 30 04:13:48,119100491.29443279,88797208.64207342,-11373.948491887793,-18.281251145238127,23.75887541314525,-0.0013095203184887918,119397493.79803957,89007143.72814712,-7998.958402143014,-18.87778811557753,24.658271037765523,-0.10042114006783849,0.0,0.0,0.0,0.0,0.0,0.0,-625839376.7945808,498080520.37588906,11931445.979964273,-8.29490227191324,-9.622350296760116,0.2255430020171368,76387898.24474223,76501976.08063352,-3349526.96617517,-24.8881602176314,24.596086346994465,1.7751412886583002
2051 Apr 26 00:15:02,2051 Apr 26 06:13:41,Total,2051 Apr 26 03:14:23,-122360864.78189097,-87637538.67321712,11301.270544992994,16.855302611685275,-24.321618114010036,0.0015147644913047606,-122695064.62195484,-87864755.36639236,12879.404463731067,17.41781473654057,-25.1157618973664,0.09156093203691276,0.0,0.0,0.0,0.0,0.0,0.0,-733158982.468252,336566628.9230231,15003265.563949572,-5.607025400244878,-11.27508723098462,0.17227700700832238,94713847.37855898,-53368725.76883774,-6199925.404157865,16.987581977000925,30.367335273543816,-0.5604526811415431
2051 Oct 19 17:29:16,2051 Oct 19 22:39:03,Total,2051 Oct 19 20:04:09,133712737.86519177,65707808.82183804,-8986.12239522431,-13.61588511349764,26.611702664303106,-0.001684972894115198,134037184.11737481,65856396.29953447,-10027.319727593394,-14.078519272735708,27.60782434296245,-0.10356435851151578,0.0,0.0,0.0,0.0,0.0,0.0,-796580174.0041394,156277835.43333533,17171084.61359843,-2.669157387078031,-12.222767599959477,0.11048630257355223,-28711528.416845314,-104731398.73196499,209634.66703511254,33.541068384217965,-9.403864562485332,-2.064456548894533
2052 Apr 14 01:09:24,2052 Apr 14 05:27:50,Penumbral,2052 Apr 14 03:18:36,-136347534.8216753,-62645928.62866866,8684.435373141765,11.948697551676572,-27.170945025241373,0.0019418533410586677,-136717260.15354753,-62807391.85126272,15152.994220429191,12.321463396063367,-28.071776880123075,0.09103516452402613,0.0,0.0,0.0,0.0,0.0,0.0,-814093803.8172328,-33689612.87578659,18352077.184702296,0.38836166351352097,-12.456383258459207,0.0430599099908941,-107497493.37694578,2422794.567118887,6233680.438722876,-0.9895227525134156,-35.167569139259705,-0.428637668906418
2052 Oct 08 09:39:46,2052 Oct 08 13:42:54,Penumbral,2052 Oct 08 11:41:22,143845690.46356112,40462768.13096988,-6195.0500057006875,-8.546303570872302,28.553225414563517,-0.0020831357653425804,144200651.677585,40554394.28172214,-12042.74709946262,-8.852349141962241,29.57985381649778,-0.09886162105347131,0.0,0.0,0.0,0.0,0.0,0.0,-784896648.9383715,-221773097.04789013,18480300.381292555,3.4023803007120503,-11.974774672217379,-0.0263641982009868,-22106250.41964673,105239100.32983163,2728734.6360446448,-34.39155044611817,-7.394237983228848,1.881512612491768
2053 Mar 04 16:10:33,2053 Mar 04 20:30:23,Partial,2053 Mar 04 18:20:25,-142930004.18517944,39795934.282668166,-3140.413120945614,-8.469069650381057,-28.797584033762543,0.0023395107171633005,-143289404.4088314,39903218.49313436,-10173.931577665528,-8.812099398509751,-29.78830594072303,0.09620169202977084,0.0,0.0,0.0,0.0,0.0,0.0,-726383441.0554321,-368758097.9598671,17781899.216452375,5.765770784455212,-11.051238920991663,-0.08307547480182552,100689222.60762219,-40893097.51035179,-6372471.477515052,12.98495680488139,32.29557863904275,-0.30283455903447815
2053 Aug 29 06:44:09,2053 Aug 29 11:30:51,Partial,2053 Aug 29 09:07:33,138306406.55404812,-60726881.95910357,5742.667793047415,11.488083163731167,27.15362821924478,-0.0022385780491027208,138666933.83389986,-60893109.49066478,12568.573880601254,11.872462257036018,28.06699409262425,-0.09273479036670416,0.0,0.0,0.0,0.0,0.0,0.0,-617791561.8041286,-526058847.49849635,16006103.573963888,8.323920158663165,-9.347404612033506,-0.14738377372616834,-12508611.449243946,-107961133.09641668,-769897.1814225508,34.55563027821445,-4.168059570678942,-2.0507006637355336
2054 Feb 22 05:11:51,2054 Feb 22 10:26:56,Total,2054 Feb 22 07:49:23,-132668413.54357529,65561719.71324061,-6392.60663803319,-13.67427183855003,-26.807501813713394,0.0021362403425246707,-132986056.92301078,65729242.92268949,-9017.98466172579,-14.200926742592063,-27.764169793878587,0.10297893236318713,0.0,0.0,0.0,0.0,0.0,0.0,-473825389.3201254,-652272086.2242657,13309768.880180279,10.425823942242856,-7.076844897909799,-0.2038394591396187,-106825967.34696727,-13065079.197785102,5980887.724257726,4.034962637762545,-34.91750126697636,-0.7151353493035042
2054 Aug 18 07:27:30,2054 Aug 18 13:37:00,Total,2054 Aug 18 10:32:15,124778956.55210371,-85767087.09950519,9036.452362368307,16.38390264852844,24.426783597740858,-0.002015238841969326,125108143.34018715,-86005146.39395905,11387.403159871905,16.95214509574494,25.210205182065444,-0.09159118741766958,0.0,0.0,0.0,0.0,0.0,0.0,-301790203.5370075,-740059095.0813481,9825882.099041179,11.954838990465118,-4.328425120941793,-0.24945628737175132,-36271783.002382,101165755.16814035,3489747.189002305,-33.08448275692143,-12.014768787443742,1.7422178264068122
2055 Feb 11 21:13:06,2055 Feb 12 02:20:02,Total,2055 Feb 11 23:46:35,-117984146.83511972,88785679.00729169,-9553.90697823691,-18.38794389176276,-23.905096313947393,0.0018424420732313727,-118264753.51413202,89008932.62158833,-7854.207521967584,-19.052775628543795,-24.773341660931877,0.10304329160285718,0.0,0.0,0.0,0.0,0.0,0.0,-110983018.45391412,-783006907.6707629,5735724.163665353,12.79375267328503,-1.2246757633378453,-0.28112022619897076,89866372.89914598,60279492.604941234,-4350381.884537607,-19.616795815039435,28.93535348979073,1.5312082655365455
2055 Aug 07 09:09:20,2055 Aug 07 14:47:35,Partial,2055 Aug 07 11:58:25,106855468.50427082,-107681923.74787337,11938.272525517796,20.652877215121812,20.861895740308604,-0.0016404568903796138,107127979.98112875,-107970191.04771526,9424.04296742418,21.397124993111213,21.51732232536151,-0.09330647235674432,0.0,0.0,0.0,0.0,0.0,0.0,85543532.3811993,-776880810.9574889,1313779.7954989914,12.844845181278798,2.0433977238589107,-0.29584081751790325,79871898.4520422,-73858155.06379555,-5627081.514007118,23.553753038862755,25.581058491319588,-1.005003334575108
2056 Feb 01 11:37:38,2056 Feb 01 15:26:15,Penumbral,2056 Feb 01 13:31:59,-99134468.93270706,109080930.54299267,-12324.605385601206,-22.520960934638516,-20.139275790859138,0.001576767016307418,-99380247.77048412,109362357.18972343,-5784.743827857803,-23.282617609864346,-20.865441143463343,0.09602560228084964,0.0,0.0,0.0,0.0,0.0,0.0,278156954.59994465,-720019296.863518,-3231408.770857857,12.044291022201469,5.32596271774861,-0.29157462935193806,-48457559.04578171,-97029950.50396045,1453860.9995157018,31.09335144540013,-15.803892727270384,-2.0116715044576807
2056 Jun 27 09:37:43,2056 Jun 27 12:27:24,Penumbral,2056 Jun 27 11:02:32,16897556.894123796,-151124304.96239054,18268.118863529064,29.10837716881256,3.1972160391009052,0.00041896869492721715,16934045.326644395,-151489282.01885638,27124.723097178616,30.176836535752482,3.2645811260028,-0.09374460039489005,0.0,0.0,0.0,0.0,0.0,0.0,423327061.87863517,-636081844.7796277,-6827711.389897829,10.731824870316267,7.8598305214626825,-0.2727310004360401,-50224237.605067864,94950627.65903088,4208763.85072657,-31.07438452552255,-16.571416163816142,1.5631498484394857
2056 Jul 26 18:09:50,2056 Jul 26 21:20:55,Penumbral,2056 Jul 26 19:45:20,85793384.32320908,-125360776.99097137,14505.630954905328,24.08935110528853,16.70547568700483,-0.0011847093695652024,86000703.33287205,-125674944.15206887,7008.495983879045,24.983889299899865,17.244528775926568,-0.0959380099763497,0.0,0.0,0.0,0.0,0.0,0.0,450131620.0740313,-615542805.6418899,-7512678.011057989,10.400985398117323,8.333939624756924,-0.26730228620940544,-104019764.63078116,26762480.75790299,6368987.555785682,-8.899622325305918,-34.07656409565916,0.04234156990368543
2056 Dec 22 00:49:07,2056 Dec 22 05:20:43,Penumbral,2056 Dec 22 03:04:57,-2149730.1335346,147134214.52099425,-18019.919540498217,-30.258496372425217,-0.5481046794703145,-0.0006449156215338776,-2149012.934731371,147537147.8247964,-25620.669579626356,-31.234848173549008,-0.5668551435877334,0.08808888481248385,0.0,0.0,0.0,0.0,0.0,0.0,571149935.8142656,-494446020.1336742,-10723085.068463903,8.403638126309607,10.502345277602277,-0.2316280137881081,80363826.534427,72360035.42046686,-3634761.7473136038,-23.539097669472817,25.87614457853907,1.715179214555373
2057 Jun 17 00:58:56,2057 Jun 17 05:52:47,Partial,2057 Jun 17 03:25:51,-9879201.434513342,-151647377.35748538,19292.40199843848,29.230454487776115,-2.0478043945162248,0.0011114822057247242,-9911114.492746003,-152003078.43222016,23715.03137378373,30.32309821666885,-2.1493121072835724,-0.09956336182428538,0.0,0.0,0.0,0.0,0.0,0.0,677456883.2033794,-317900935.6520369,-13834732.941641215,5.399820986364765,12.454055877591388,-0.17253726705974898,90259985.31847173,-60653784.73771318,-6043983.503305759,19.319768974715267,28.927532194251842,-0.714257617458994
2057 Dec 10 23:11:15,2057 Dec 11 05:13:17,Total,2057 Dec 11 02:12:15,27251798.799193457,144764691.44004408,-18835.132678233953,-29.74584229665312,5.395238145659151,-0.0013994673463667685,27335837.415927578,145160314.3460059,-22410.73977120753,-30.693550963544954,5.6146490822727495,0.08815219546025344,0.0,0.0,0.0,0.0,0.0,0.0,733864145.6584834,-118108145.61708131,-15926627.605588082,1.9227284834626681,13.526346296739812,-0.09921271414814686,-36244453.776477985,-102323637.5567653,675479.8140424363,32.77398042618235,-11.843344998714823,-2.053863998647727
2058 Jun 06 17:38:41,2058 Jun 06 22:58:21,Total,2058 Jun 06 20:18:33,-36212820.20505697,-147415063.49154785,19460.2763041432,28.434221752275352,-7.217139847922589,0.0017684112439700099,-36309124.25406984,-147766062.49264118,19265.761947952615,29.48252352337738,-7.469481082274878,-0.09788461740201528,0.0,0.0,0.0,0.0,0.0,0.0,735097513.2447627,91493090.98183914,-16824985.555655356,-1.76929874244081,13.592251732309387,-0.016886163242011868,-107104432.31497762,9040613.846735733,6301828.013272115,-3.140479339569825,-35.05382465734854,-0.3035905153121162
2058 Nov 30 01:38:23,2058 Nov 30 07:26:05,Total,2058 Nov 30 04:32:11,55165990.97957738,136837885.81224826,-18839.032055047915,-28.100644179411283,11.020256042362242,-0.002254065700291437,55320317.39590267,137194179.72131452,-17944.8536368377,-29.013037124456584,11.461937506770699,0.09138545685029033,0.0,0.0,0.0,0.0,0.0,0.0,680778945.768179,292520374.6358838,-16444966.82384647,-5.315986587512422,12.63058732447104,0.06645255005540797,-12507628.787440114,106857905.16029857,2199432.4703846797,-34.901481373882056,-4.262035759977759,1.953885620737098
2059 May 27 06:51:59,2059 May 27 11:17:41,Partial,2059 May 27 09:04:53,-61738743.09435007,-138411087.1239428,19246.711976473176,26.711324306168944,-12.244275304718357,0.002440827795456203,-61902179.13320622,-138757349.76709753,13786.827162770229,27.659713381686384,-12.639349233069055,-0.09030609699703755,0.0,0.0,0.0,0.0,0.0,0.0,573884071.2238139,473309036.3527683,-14804711.864799147,-8.473073840025434,10.704631613409235,0.14508424987544666,100418565.21956895,40618473.36470515,-5229480.193818701,-13.245832521211286,32.312683714318304,1.210887360388787
2059 Nov 19 12:06:17,2059 Nov 19 16:21:28,Partial,2059 Nov 19 14:13:50,80251343.5559548,124159201.13703893,-17628.71990428209,-25.49162404378422,16.050545411237984,-0.0030450124129835694,80457718.17860352,124463377.63147143,-12212.068080953293,-26.355299274250168,16.67984458766181,0.09480068655223194,0.0,0.0,0.0,0.0,0.0,0.0,425278332.806389,616812197.6232187,-12076408.062519163,-10.918694336150555,8.039132171201969,0.21086154697536671,62545134.451514214,-89048263.44127953,-4838929.483938985,28.42791231886229,20.007048475081653,-1.3627447611164842
2060 Apr 15 20:41:08,2060 Apr 16 01:12:20,Penumbral,2060 Apr 15 22:56:45,-134265652.36695454,-67166220.67046784,10444.533797913185,12.83968457358393,-26.744207902220275,0.004512974973664153,-134631524.2762895,-67341920.3713084,18036.14427354735,13.264746095431388,-27.614893105831168,-0.08320091827571394,0.0,0.0,0.0,0.0,0.0,0.0,275611793.6659426,703166226.9737271,-9086961.096961018,-12.32800756754959,5.3875763813892705,0.25340694440314143,-107389781.64758785,-6332823.805286281,6105793.41957911,1.8526797057783548,-35.11582648802747,-0.5926207170194024
2060 Oct 09 18:02:18,2060 Oct 09 22:04:26,Partial,2060 Oct 09 20:03:23,142713267.86378595,44099522.46676789,-7401.124956380992,-9.274096241264997,28.33656132728267,-0.004931944732842905,143057219.46081635,44198661.98367416,-14438.812952493467,-9.59068378769387,29.385015064842214,0.09422465799777034,0.0,0.0,0.0,0.0,0.0,0.0,79657544.62682775,759642006.8210574,-4937866.763087562,-13.158983139525438,1.9782185765250528,0.2861639639507401,-29233194.451579303,103451197.89386204,3117160.5943967816,-33.81945315395006,-9.719957048544558,1.8159783476398774
2061 Apr 04 20:15:49,2061 Apr 05 02:13:29,Total,2061 Apr 04 23:14:36,-144191038.55886164,-40070531.72159565,6892.702137969734,7.491059303944035,-28.80186800368786,0.0049205705012532784,-144578668.99146652,-40168424.11326394,10070.908659785622,7.702481028576621,-29.763018376559497,-0.08541079817422352,0.0,0.0,0.0,0.0,0.0,0.0,-122123172.79073638,763523807.2130666,-439983.08675942896,-13.066021644452574,-1.452627559897361,0.29833823211155147,94503592.32042174,52817590.00859962,-4719492.711948524,-17.19476525568011,30.418102799300158,1.4124871524410079
2061 Sep 29 08:09:18,2061 Sep 29 13:35:18,Total,2061 Sep 29 10:52:21,148808794.82481915,17431969.93084557,-3928.942660532159,-3.9463514260907067,29.462433527397426,-0.0051350298921751004,149179204.90836927,17465870.233543184,-6802.446764392382,-4.085196873884367,30.50982648739107,0.09230407782354637,0.0,0.0,0.0,0.0,0.0,0.0,-316236497.6230764,716152199.420595,4099350.6317667426,-12.115237625843037,-4.671062382805954,0.29043493298887424,75879454.58460498,-77970364.8702487,-5454802.190745983,24.872494155021386,24.29500020049312,-1.09831172946484
2062 Mar 25 02:05:23,2062 Mar 25 07:37:15,Total,2062 Mar 25 04:51:16,-148684383.53815454,-12161351.244470472,3483.1349017953526,1.9455207955848675,-29.790971461725313,0.005208341136352558,-149063908.88585788,-12182589.551790306,1916.74117180159,1.9590305711773304,-30.825719000073438,-0.09025589028578852,0.0,0.0,0.0,0.0,0.0,0.0,-489265488.04388857,622844963.0930264,8357815.109699031,-10.435544938596903,-7.468121774707284,0.26447597738461703,-57035259.35919861,-92169927.51988928,2013820.8709135528,29.539692423906768,-18.587266192180277,-1.9607308668266485
2062 Sep 18 17:04:45,2062 Sep 18 22:45:44,Partial,2062 Sep 18 19:55:18,149925631.22953808,-10365939.550331727,-432.9691802568868,1.5719714040770016,29.59359214051375,-0.005193695818550835,150316798.0770509,-10402755.347574342,1536.5464277547833,1.6254505165843052,30.59372632296029,0.08682015725271616,0.0,0.0,0.0,0.0,0.0,0.0,-632610280.9616992,490118289.2420148,12116017.189587224,-8.160533121091872,-9.727914290850858,0.22297322772759487,-102402709.51034872,32354997.375792827,6353148.641296766,-10.719197941138464,-33.553819589012264,0.15385588640649098
2063 Mar 14 15:26:22,2063 Mar 14 19:16:04,Penumbral,2063 Mar 14 17:21:11,-147938223.91167974,15383790.328275204,-157.54470737432828,-3.562341669849865,-29.730337391612952,0.005343475479848937,-148297250.28913525,15428795.717172949,-6334.663315615544,-3.722655211978621,-30.802813757755423,-0.09344351712094573,0.0,0.0,0.0,0.0,0.0,0.0,-737233046.4557617,328251707.6475074,15128970.4335386,-5.470536489720275,-11.336968651002312,0.16948250681303942,9401186.498987654,107287179.59456171,942523.1843894261,-35.00646782866973,2.8776262514462907,2.0585956087424573
2063 Sep 07 20:11:56,2063 Sep 08 00:04:36,Penumbral,2063 Sep 07 22:08:16,145740729.5485222,-38420830.1567752,3169.0155525761525,7.1073820392565805,28.682139461330944,-0.005176888552027627,146131207.34386095,-38530982.03987915,10343.011577736486,7.361001993640804,29.617618917051985,0.08242754640527407,0.0,0.0,0.0,0.0,0.0,0.0,-798593992.6285605,146769482.93588707,17255636.400593635,-2.5154513116202777,-12.251861088836865,0.10717530641971468,107141916.96324995,16706345.153287161,-5947180.475897457,-5.526626743994479,34.444912923757094,0.7954687428909166
2064 Feb 02 20:58:33,2064 Feb 03 01:18:02,Partial,2064 Feb 02 23:08:19,-102054015.95280704,106407404.23832783,-13547.027435155866,-21.973306614242585,-20.72344648954191,0.0044211818512923965,-102298897.64452404,106673288.49951498,-7005.146162135964,-22.753135805940946,-21.47853674850771,-0.09439716605974054,0.0,0.0,0.0,0.0,0.0,0.0,-814467173.236091,-11838249.152569842,18269649.68363977,0.0377873917146452,-12.46611041573189,0.05093883992712203,-41746124.194231845,-100155748.15060815,1020928.7199550493,32.089331679388025,-13.626903788311846,-2.0390955539695836
2064 Jul 28 06:47:17,2064 Jul 28 11:42:28,Partial,2064 Jul 28 09:14:50,89200800.03908323,-122923863.73567624,16189.138839736757,23.616364382087795,17.3774437371975,-0.003892932025662771,89424442.0857051,-123245125.55329573,9950.060082027048,24.46497389882475,17.916189050846764,0.08662893565061562,0.0,0.0,0.0,0.0,0.0,0.0,-790816879.0814672,-199710069.03994557,18521085.051169604,3.048827230437247,-12.06949083731616,-0.018063007097856125,-105735888.56202567,19059224.548931435,6361195.764618018,-6.394186143185491,-34.62351220484778,-0.11056794573278404
